nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
GPPS Cimanggis,Gereja Pantekosta,"JV38+622, Cisalak, Kec. Sukmajaya, Kota Depok, Jawa Barat 16416",Tutup,"4,8",34,,Tidak Ada ,Tidak Tersedia,-6.3969776,106.8650202,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja YHS Depok,Gereja,"Jl. Bahagia Raya No.1b, RT.4/RW.8, Sukamaju, Kec. Cilodong, Kota Depok, Jawa Barat 16417",09.00 hingga 20.00,,,,Tidak Ada ,Tersedia,-6.4045495,106.8505004,Aksesibilitas Tersedia,[]
GKDI Kota Depok,Gereja Kristus,"Jl. Margonda No.48, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Buka 24 jam,"5,0",19,"
0812-2176-9236",Ada,Tidak Tersedia,-6.3953176,106.8217778,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GKMI PETRA DEPOK,Gereja Mennonite,"Jl. Cempaka No.2, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,9",35,"
(021) 7773450",Ada,Tersedia,-6.3991459,106.8231905,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
HKBP Cisalak,Gereja Lutheran,"JVC4+PV4, Jl. Palem V, Cisalak, Kec. Sukmajaya, Kota Depok, Jawa Barat 16416",,"4,4",17,,Tidak Ada ,Tidak Tersedia,-6.378245,106.8572153,Aksesibilitas Tersedia,[]
GBI Alfa Omega Cimanggis,Gereja,"Jl. Raya Bogor KM.35, Sukamaju Baru, Kec. Tapos, Kota Depok, Jawa Barat 16455",,"4,7",29,"
(021) 8740967",Ada,Tidak Tersedia,-6.4039685,106.8617821,Aksesibilitas Tersedia,[]
HKBP Depok 1,Gereja Lutheran,"Jl. Cendrawasih Raya No.1, Depok Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432",,"4,7",224,"
(021) 77201639",Ada,Tersedia,-6.3913151,106.8066811,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Pantekosta Tabernakel,Gereja Kristen,"Jl. Cagar Alam Raya 30-A RT 001/02, Pancoran Mas, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16436",Tutup,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.4028,106.8126195,Aksesibilitas Tersedia,[]
Pos PI GPKB Dame Depok,Gereja,"Jl. Kartini Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.3990713,106.8192932,Aksesibilitas Tersedia,[]
CDC Church Depok,Gereja,"CDC Hall, D Mall, Jl. Margonda Raya No.Kav. 88 Lantai 3, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",Tutup,"5,0",45,,Ada,Tersedia,-6.3867787,106.8261306,Aksesibilitas Tersedia,"['Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda']"
