nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
GPdI Majalengka,Gereja Pantekosta,"Jl. Raya K H Abdul Halim No.219, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",Tutup,"5,0",3,,Tidak Ada ,Tersedia,-6.8342781,108.2246745,Aksesibilitas Tersedia,[]
GKP Bethesda-Genteng,Gereja,"Jl. Protokol blok cempakasari desa No.20, RT.002/RW.011, Genteng, Kec. Dawuan, Kabupaten Majalengka, Jawa Barat 45453",Buka 24 jam,"4,7",19,"
0813-1331-9978",Ada,Tidak Tersedia,-6.7590522,108.19637,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GKP Eben Haezer Kadipaten,Gereja,"Jl. Brawijaya No.3, Kadipaten, Dawuan, Kec. Dawuan, Kabupaten Majalengka, Jawa Barat 45452",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.7628424,108.1689224,Aksesibilitas Tersedia,[]
GKI Pengampon Bajem Jatiwangi,Gereja Kristen,"7794+5F8, Jl. Lanud Sukani, Mekarsari, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.7320915,108.2562072,Aksesibilitas Tersedia,[]
"Gereja Katolik Kristus Raja, Jatiwangi",Gereja Katolik,"7785+CV3, Sutawangi, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.7339965,108.2596631,Aksesibilitas Tersedia,[]
GBI Kasokandel (Healing Movement Ministry),Gereja,"65QW+XQH, Jl. Protokolz blok mawarsari II (Belakang TK Simpay Asih, RT.02/RW.04, Gandasari, Kec. Kasokandel, Kabupaten Majalengka",Buka 24 jam,"4,4",8,,Tidak Ada ,Tidak Tersedia,-6.7600634,108.1969731,Aksesibilitas Tersedia,[]
GKP Bethesda-Genteng,Gereja,"Jl. Protokol blok cempakasari desa No.20, RT.002/RW.011, Genteng, Kec. Dawuan, Kabupaten Majalengka, Jawa Barat 45453",Buka 24 jam,"4,7",19,"
0813-1331-9978",Ada,Tidak Tersedia,-6.7590522,108.19637,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GPI Majalengka,Gereja,"Majalengka Wetan, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45411",Tutup,"4,9",16,"
0823-2066-8826",Ada,Tersedia,-6.836022,108.2300335,Aksesibilitas Tersedia,[]
"Gereja Katolik Kristus Raja, Jatiwangi",Gereja Katolik,"7785+CV3, Sutawangi, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.7339965,108.2596631,Aksesibilitas Tersedia,[]
"Gereja Katolik Kristus Bangkit, Kadipaten",Gereja Katolik,"65M9+CXM, Jl. Ampera, Kadipaten, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",08.00 hingga 21.00,"4,8",33,"
(0233) 8666361",Ada,Tersedia,-6.7664046,108.1699145,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Vihara Dharma Ratna,Vihara,"JL. Lanud S. Sukani, No. 41, Mekarsari, Majalengka, Kabupaten Majalengka, Jawa Barat 45454",,"4,6",10,,Tidak Ada ,Tidak Tersedia,-6.7336952,108.2573354,Aksesibilitas Tersedia,[]
Kelenteng Hok Tek Cheng Sin,Vihara,"JL. Kol S Sukani No.41 Jatisura, Mekarsari, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",08.00 hingga 21.00,"4,6",9,"
(0233) 882101",Ada,Tidak Tersedia,-6.733777,108.2572279,Aksesibilitas Tersedia,[]
Vihara Pemancar Keselamatan Majalengka,Vihara,"Jl. Kh. Abdul Halim No.204, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",,"4,9",8,"
0821-2301-2524",Ada,Tersedia,-6.8345399,108.2248979,Aksesibilitas Tersedia,[]
Vihara Dharma Bhakti,Vihara,"65M9+RM3, Kadipaten, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",,"5,0",8,,Tidak Ada ,Tidak Tersedia,-6.7654954,108.1691841,Aksesibilitas Tersedia,[]
