nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Cipari,Masjid,"2FP8+C8X, Cigugur, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat 45552",Buka 24 jam,"4,6",49,,Tidak Ada ,Tidak Tersedia,-6.9638848,108.4658556,Aksesibilitas Tersedia,[]
Masjid Baiturrahim Ciloa Kuningan,Masjid,"3F3P+VXF, Cirendang, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45553",,"4,7",88,,Tidak Ada ,Tidak Tersedia,-6.9453036,108.4874244,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Ashri,Masjid,"2FWX+FG2, Perum Alam Asri, Gereba, Kec. Kramatmulya, Kabupaten Kuningan, Jawa Barat 45553",Buka 24 jam,"4,7",44,,Tidak Ada ,Tidak Tersedia,-6.9538695,108.4987775,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Nurul Hidayah,Masjid,"3F9J+9JQ, Kalapagunung, Kec. Kramatmulya, Kabupaten Kuningan, Jawa Barat 45553",Buka 24 jam,"4,8",62,,Tidak Ada ,Tidak Tersedia,-6.9315271,108.4816241,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Agung Karomat,Masjid,"2G48+725, Dusun Kaliwon, Lengkong, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45571",,"4,6",87,,Tidak Ada ,Tidak Tersedia,-6.9943587,108.5151064,Aksesibilitas Tersedia,[]
Masjid Dian Arrokhmat,Masjid,"2GC2+VJR, Cijoho, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45515",,"4,9",18,,Tidak Ada ,Tidak Tersedia,-6.9777513,108.5015029,Aksesibilitas Tersedia,[]
Masjid Jami Al-Hidayah,Masjid,"3G34+7R4, Jalan Cilaja, Kramatmulya, Cilaja, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45514",,"4,6",24,,Tidak Ada ,Tidak Tersedia,-6.9468741,108.5070756,Aksesibilitas Tersedia,[]
Masjid Assalam Pagundan,Masjid,"2H84+2R6, Jl. Pagundan, Pagundan, Kec. Lebakwangi, Kabupaten Kuningan, Jawa Barat 45574",,"4,6",130,"
0813-2436-9654",Ada,Tidak Tersedia,-6.9849507,108.5570303,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Al-Huda,Masjid,"2F78+C9P, Unnamed Road, Cigadung, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat 45552",,"4,7",69,,Tidak Ada ,Tidak Tersedia,-6.9864204,108.4659383,Aksesibilitas Tersedia,[]
Masjid Al makmur,Masjid,"2FCF+H3C, Kuningan, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45511",,"4,3",21,,Tidak Ada ,Tidak Tersedia,-6.9785628,108.4726507,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid AT TAQWA,Masjid,"3F7F+4W8, Jl. Cilame No.356, Cibentang, Kec. Kramatmulya, Kabupaten Kuningan, Jawa Barat 45553",Buka 24 jam,"4,7",55,,Tidak Ada ,Tidak Tersedia,-6.9372125,108.4748281,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
