nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,status_telepon,status_website,latitude,longitude,status_aksesibilitas,aksesibilitas
Masjid perum,Masjid,"JGQ6+MMF, Jl. Karang Tengah, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",04.21 hingga 12.00,,,,Tidak Ada,Tidak Tersedia,-7.3607993,108.5116471,Tidak Tersedia,
Masjid Baiturrahman,Masjid,"JGQ7+G3W, Jl. Karang Tengah, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",04.09 hingga 08.30,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3610018,108.5129711,Tidak Tersedia,
Masjid Jami Al Ikhlas,Masjid,"JGFP+7XH, Jl. Samolo, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",09.00 hingga 17.00,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3768014,108.537479,Tidak Tersedia,
Mesjid Al-Falah Cipantaran (Al-Falah Mosque),Tempat Ibadah,"Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3705501,108.492064,Tidak Tersedia,
Masjid Jami Miftahul Hidayah Cipantaran (The Miftahul Hidayah Grand Mosque of Cipantaran),Masjid,"Jl. Padepokan, Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3719596,108.4927848,Tidak Tersedia,
Masjid Miftahul Huda Wargamulia,Masjid,"JGRP+7W8, Jalan Brigjen M. Isa Sh, Purwaharja, Banjar City, West Java 46331",Buka 24 jam,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3593394,108.5373259,Tidak Tersedia,
Masjid Al Barkah,Masjid,"JGC9+3M4, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",Buka 24 jam,"4,4",7,,Tidak Ada,Tidak Tersedia,-7.3798684,108.5192142,Tidak Tersedia,
Masjid Baitul Muslim,Masjid,"JG9M+9MV, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3815191,108.5340867,Tidak Tersedia,
Masjid Al Barokah,Masjid,"Jl. R. Dewi Sartika No.48B, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.366665,108.5363612,Tidak Tersedia,
Masjid DKM VII Miftahul Falah Neglasari Kota Banjar,Tempat Ibadah,"Rt 28 Rw 14 Dusun, Warung Buah, Neglasari, Kec. Banjar, Kota Banjar, Jawa Barat 46315",Buka 24 jam,"4,9",9,,Tidak Ada,Tidak Tersedia,-7.3832004,108.5018356,Aksesibilitas Tersedia,Memiliki pintu masuk khusus pengguna kursi roda | Memiliki tempat parkir khusus pengguna kursi roda
Masjid Jamie Al-Muhshinin,Masjid,"JG9M+MX9, Gg. Kusumah, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,,,,Tidak Ada,Tidak Tersedia,-7.3808425,108.5349911,Tidak Tersedia,
Masjid Al Amanah,Masjid,"Jajawar, RT. 08 RW. 02, Cibeureum, Banjar, Banjar, Kota Banjar, Kota Banjar, Jawa Barat 46311",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.366297,108.533492,Tidak Tersedia,
Masjid Al-Falah,Tempat Ibadah,"Jl. Peta No.RT11 RW 03, Dsn Pasirnagara, Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3682602,108.4834862,Tidak Tersedia,
Masjid Ar-Rohman Cisauheun,Masjid,"JFGH+FQW, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"4,5",21,"
0813-2042-8647",Ada,Tidak Tersedia,-7.3737705,108.4794426,Tidak Tersedia,
Masjid Jamim Al-Amanah,Lembaga Agama,"JFRV+2JQ, Jl. Wirasantana, Jajawar, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3599081,108.4941022,Tidak Tersedia,
Masjid Baituttaqwa,Masjid,"JG9Q+676, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3819514,108.5381526,Tidak Tersedia,
Masjid Al Ikhlas,Masjid,"JG8Q+RVF, JL. Raya Batulawang, Pataruman, Hegarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"4,0",12,,Tidak Ada,Tidak Tersedia,-7.3829362,108.5396731,Tidak Tersedia,
