nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Besar Al-Ikhlas Tonjong,Masjid,"M8FW+J99, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",Buka 24 jam,"4,7",137,"
0831-1651-6420",Ada,Tersedia,-7.3259596,108.3459908,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MASJID JAMI BAITURROHMAT,Masjid,"V98W+WGJ, Dusun Jl. Situ Gede, RT.06/RW.16, Sagalaherang, Kec. Panawangan, Kabupaten Ciamis, Jawa Barat 46255",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-7.3379532,108.1895263,Aksesibilitas Tersedia,[]
Masjid Agung Al-Mutakin,Masjid,"W86C+WF9, Sindanglaya, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"4,7",19,,Tidak Ada ,Tidak Tersedia,-7.0877102,108.3212254,Aksesibilitas Tersedia,[]
"Masjid AT-TAQWA Perum Kertasari, Ciamis",Masjid,"Jl. Sukalaksana I Perum Bumi Kertasari Blok 5-6, Sukamaju, Kec. Baregbeg, Kabupaten Ciamis, Jawa Barat 46274",Buka 24 jam,"4,7",29,,Tidak Ada ,Tidak Tersedia,-7.321302,108.3705853,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Baiturrahman,Masjid,"M986+FWM, Jl. Cibitunggirang, Kertasari, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46213",,"4,8",19,,Tidak Ada ,Tidak Tersedia,-7.3337825,108.3622829,Aksesibilitas Tersedia,[]
Masjid Agung Ciamis,Masjid,"Jl. Jend. Sudirman No.3, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",Buka 24 jam,"4,8",3.732,"
0823-2120-8319",Ada,Tidak Tersedia,-7.3267101,108.351081,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Jami Al Ikhlas,Masjid,"V895+35R, Bojong, Sukamulya, Rawa, Kec. Lumbung, Kabupaten Ciamis, Jawa Barat 46264",,"5,0",11,"
0823-2159-2525",Ada,Tidak Tersedia,-7.1322703,108.3078771,Aksesibilitas Tersedia,[]
Masjid Besar Miftahul Falah,Masjid,"W84Q+384, Lebakwangi, Mekarwangi, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",Buka 24 jam,"4,4",40,"
0812-7772-3355",Ada,Tidak Tersedia,-7.0948525,108.3383183,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Ikhlas,Masjid,"Q638+V6V, Sukasetia, Kec. Cihaurbeuti, Kabupaten Ciamis, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.2452523,108.2155329,Aksesibilitas Tersedia,[]
mesjid al falah ciputih,Masjid,"W68M+8P7, Ciputih, Tenggerraharja, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"4,0",2,"
0812-9638-3889",Ada,Tidak Tersedia,-7.0842112,108.2342885,Aksesibilitas Tersedia,[]
Masjid Jami Al Azkiya,Masjid,"M896+93Q, Panyingkiran, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",,"4,8",15,,Tidak Ada ,Tidak Tersedia,-7.3315299,108.3102238,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Al-Ikhlas,Masjid,"Gg. Masjid Jami Al Ikhlas Jl. Jend. Sudirman No.330, Sindangrasa, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",Buka 24 jam,"4,8",9,"
0812-2037-2730",Ada,Tidak Tersedia,-7.3197327,108.3194457,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid At - Tohaeroh,Masjid,"M9CW+6JF, Jl. Ciamis - Banjar, Pamalayan, Kec. Cijeungjing, Kabupaten Ciamis, Jawa Barat 46271",,"4,8",49,,Tidak Ada ,Tidak Tersedia,-7.329444,108.3965618,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Furqon,Masjid,"M7P5+VM6, Cipeucang, Wanasigra, Sindangkasih, Ciamis Regency, West Java 46268",,"4,4",14,,Tidak Ada ,Tidak Tersedia,-7.3128397,108.2591275,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al-Ittihad,Masjid,"Jl. Raya Kawali No.409, Selacai, Kec. Cipaku, Kabupaten Ciamis, Jawa Barat 46252",,"4,7",58,,Tidak Ada ,Tidak Tersedia,-7.2152678,108.383647,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Mesjid,Masjid,"M9C6+368, Jl. RTA. Sunarya, Kertasari, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46213",Buka 24 jam,"4,5",2,,Tidak Ada ,Tidak Tersedia,-7.3298261,108.3605814,Aksesibilitas Tersedia,[]
Biara Ursulin,Biara,"3JQM+94H, Jl. Supratman I, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",,"4,7",62,"
(022) 7107208",Ada,Tidak Tersedia,-6.9115732,107.6328457,Aksesibilitas Tersedia,[]
Gereja Pantekosta Ciamis,Gereja Pantekosta,"Jl. Ir. H. Juanda No.231, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",,"4,4",16,,Tidak Ada ,Tidak Tersedia,-7.3271088,108.3555016,Aksesibilitas Tersedia,[]
Gereja Kristen Pasundan Jemaat Tasikmalaya,Gereja,"Jl. Selakaso No.53, Yudanagara, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46121",,"4,3",23,"
(0265) 332588",Ada,Tidak Tersedia,-7.329927,108.21759,Aksesibilitas Tersedia,[]
