nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
GPIB Sejahtera di Bandung,Gereja Protestan,"Jl. Malabar No.49, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",,"4,9",41,,Tidak Ada ,Tidak Tersedia,-6.9244718,107.6243329,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Injili Indonesia,Gereja Evangelis,"Jl. Bratayuda No.4, Ciwalen, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44116",,"4,4",104,"
(0262) 233907",Ada,Tersedia,-7.2165634,107.9086332,Aksesibilitas Tersedia,[]
GPdI Imanuel Garut,Gereja Pantekosta,"Jl. Cimanuk No.261, Paminggir, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44118",09.00 hingga 17.00,"4,7",45,"
0812-1000-8310",Ada,Tersedia,-7.2133067,107.8990553,Aksesibilitas Tersedia,[]
Gereja Yesus Sejati (GYS) Bandung,Gereja,"Jl. Pungkur No.49B, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",Tutup,"4,8",60,"
(022) 4235432",Ada,Tersedia,-6.9272424,107.6054574,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKPB Fajar Pengharapan - Satelit Pasirkoja,Gereja Kristen,"Jl. Pasirkoja No.58, Karanganyar, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242",,"4,8",463,"
(022) 4237966",Ada,Tersedia,-6.9266151,107.6005577,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Kuniel,Gereja,"3JCP+4JM, Cangkuang Kulon, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40239",Buka 24 jam,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9296546,107.6365526,Aksesibilitas Tersedia,[]
Gereja Bethel Indonesia,Gereja,"sebelah BCA pusat, Jl. Ciledug No.158, Kota Kulon, Garut Kota, Garut Regency, West Java 44112",08.00 hingga 18.00,"4,5",22,"
(0262) 241173",Ada,Tersedia,-7.2239612,107.9063302,Aksesibilitas Tersedia,[]
Gereja HKI Jemaat Dame,Gereja Kristen,"Jl. Soekarno-Hatta No.542, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",,"4,3",47,,Tidak Ada ,Tidak Tersedia,-6.943717,107.6486349,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKI Pasirkoja,Gereja Kristen,"Jl. Terusan Pasirkoja No.57, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40233",05.30 hingga 19.00,"4,6",30,"
(022) 6014272",Ada,Tersedia,-6.9266339,107.5953793,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKJ Kiaracondong,Gereja,"Jl. Stasiun Kiaracondong No.99/134B, Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40111",,"4,7",33,"
(022) 7305127",Ada,Tidak Tersedia,-6.9255684,107.6463212,Aksesibilitas Tersedia,[]
Gereja Sidang Kristus,Gereja Kristus,"Jl. Sunda No.49, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",,"4,9",30,"
(022) 4237181",Ada,Tidak Tersedia,-6.919418,107.6177875,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Kristen Kalam Kudus Pasundan,Gereja Protestan,"Jl. Pasundan No.78, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251","05.15 hingga 06.00,08.00 hingga 11.00","4,8",113,"
(022) 4233061",Ada,Tersedia,-6.9269092,107.6085005,Aksesibilitas Tersedia,[]
