nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
"Gereja Katedral Bandung, Santo Petrus",Katedral Katolik,"Jl. Merdeka No.14, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",08.00 hingga 18.00,"4,8",5.123,"
(022) 4235537",Ada,Tersedia,-6.9148463,107.6106056,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
"Gereja Katolik Paroki St. Theodorus, Sukawarna",Gereja Katolik,"Jl. Unpar II No.10, Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat 40164",Tutup,"4,8",207,"
(022) 82003709",Ada,Tersedia,-6.8896639,107.5764554,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
"Gereja Katolik Paroki Santo Martinus, Margahayu",Gereja Katolik,"Jl. Hercules 4, Sulaiman, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40229",06.00 hingga 07.00,"4,7",459,"
(022) 5404263",Ada,Tersedia,-6.985416,107.568153,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
"Kapel Katolik Mater Boni Consilii, Cibeunying Kidul",Gereja Katolik,"Jl. Supratman No.1, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40114",,"4,7",57,"
(022) 7207332",Ada,Tersedia,-6.9116383,107.6327473,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Santo Michael, Waringin",Gereja Katolik,"Jl. Waringin No.51, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182",Buka 24 jam,"4,8",265,"
(022) 6018769",Ada,Tersedia,-6.9171009,107.591306,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
"Gereja Katolik Paroki Santo Ignatius, Cimahi",Gereja Katolik,"Jl. Baros No.8, Baros, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40521",05.30 hingga 18.00,"4,8",1.013,"
(022) 6654052",Ada,Tersedia,-6.8905712,107.5364163,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Mahasiswa Katolik,Gereja Katolik,"Sekolah Santo Aloysius, Jl. Sultan Agung No.2, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",10.00 hingga 17.00,"4,8",105,"
(022) 4217796",Ada,Tersedia,-6.9057474,107.6118923,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Wisata Religi Biara Karmel Lembang,Biara,"Jl. Karmel II No.51, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",07.00 hingga 19.00,"4,9",97,"
(022) 2787331",Ada,Tidak Tersedia,-6.8125767,107.6145599,Aksesibilitas Tersedia,"['Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Oikumene Pusdiklatpassus,Tempat Ibadah,"3FMR+XJ8, Pintu, Galanggang, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561",,"4,7",3,,Tidak Ada ,Tidak Tersedia,-6.9152383,107.4916358,Aksesibilitas Tersedia,[]
Lotek Dr Rosye Rosaria Zaena SE,Vihara,"4G3P+6JX SD Santo Yusup Baros, Utama, Kec. Cimahi Sel., Kota Cimahi, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.89688,107.5366239,Aksesibilitas Tersedia,[]
Wihara Dharma Ramsi,Vihara,"Gg. Ibu Aisah No.18 9A, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",08.00 hingga 17.00,"4,9",27,"
(022) 6034489",Ada,Tersedia,-6.9210202,107.5924747,Aksesibilitas Tersedia,[]
Vihara Avalokitesvara Vipassana Graha (AVG) Bandung,Vihara,"Jl. Raya Taman Kopo Indah 2 Blk. A3 No.2, Mekar Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218",,"5,0",12,,Tidak Ada ,Tersedia,-6.960583,107.5579322,Aksesibilitas Tersedia,[]
Klinik Vihara Tanda Bhakti,Klinik Medis,"Jl. Vihara No.3, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40182","07.00 hingga 08.30,15.00 hingga 19.00","4,2",6,,Tidak Ada ,Tidak Tersedia,-6.918128,107.5936663,Aksesibilitas Tersedia,[]
上香,Vihara,"Jl. Kelenteng No.12, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40182",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9187474,107.5930834,Aksesibilitas Tersedia,[]
Walubi,Vihara,"Jl. A. Yani C No.284 Lantai II, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40114",,"4,0",1,"
(022) 7200979",Ada,Tidak Tersedia,-6.9150118,107.6319467,Aksesibilitas Tersedia,[]
Cetya Maitrisagara,Vihara,"3H8Q+7V4, Jl. Peta, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40233",,"4,5",39,,Tidak Ada ,Tidak Tersedia,-6.9343632,107.589692,Aksesibilitas Tersedia,[]
Vihara Aman,Vihara,"Jl. Luna No.63/85, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",,"4,4",7,,Tidak Ada ,Tidak Tersedia,-6.9196978,107.590767,Aksesibilitas Tersedia,[]
DPD Madhatantri Tk. I Jawa Barat,Vihara,"Jl. Babakan Tarogong No.251, Babakan Tarogong, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",,"3,7",3,,Tidak Ada ,Tidak Tersedia,-6.9310886,107.5912442,Aksesibilitas Tersedia,[]
Vihara Yakin,Vihara,"Jl. Gatot Subroto No.151, Samoja, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9244495,107.6281629,Aksesibilitas Tersedia,[]
Vihara Vimala Dharma,Vihara,"Jl. Ir. H. Juanda No.5, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",,"4,7",123,"
(022) 4238696",Ada,Tidak Tersedia,-6.906144,107.6103585,Aksesibilitas Tersedia,[]
Vihara Yasodhara,Vihara,"Jl. Pagarsih No.158, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",08.00 hingga 17.00,"4,7",28,"
(022) 6012449",Ada,Tersedia,-6.9222633,107.590745,Aksesibilitas Tersedia,[]
Vihara Damai Sejahtera,Vihara,"Komplek Capitol Plaza B2 Kota, JL. Jenderal Sudirman, No. 91, Sukahaji, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40221",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9186239,107.5868224,Aksesibilitas Tersedia,[]
Megaloman House,Vihara,"Jl. Sadang Saip No.28 C, Sadang Serang, Kecamatan Coblong, Kota Bandung, Jawa Barat 40133",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.8900875,107.6281093,Aksesibilitas Tersedia,[]
Vihara Vimalakirti Bandung,Vihara,"Jl. Suryani Dalam No.15, Wr. Muncang, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40211",,"4,5",38,,Tidak Ada ,Tidak Tersedia,-6.9194586,107.5811285,Aksesibilitas Tersedia,[]
Green Corner by Vihara Yasodhara,Tambah jam buka,"Jl. Pagarsih No.158, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",,"5,0",1,"
(022) 6012449",Ada,Tidak Tersedia,-6.9222535,107.5907287,Aksesibilitas Tersedia,[]
Biara Bandung Natawijaya,Vihara,"Jl. K. Natawijaya No.55 RT 002/02, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242",,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9267207,107.5960787,Aksesibilitas Tersedia,[]
Vihara Iswari,Vihara,"Jl. Cibadak No.221, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",06.00 hingga 17.00,"4,7",6,"
(022) 6013068",Ada,Tersedia,-6.921397,107.5954997,Aksesibilitas Tersedia,[]
Pura Agung Wira Loka Natha,Pura,"4G8P+95X, Jl. Sriwijaya Raya, Karangmekar, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40523",Buka 24 jam,"4,7",180,"
(022) 6640019",Ada,Tidak Tersedia,-6.88402,107.5354883,Aksesibilitas Tersedia,[]
wisma meditasi Dirghayuka Prabha,Vihara,"7MV9+J43, Jl.kampung cilimus, Cisaat, Kec. Ciater, Kabupaten Subang, Jawa Barat",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.7059892,107.6677863,Aksesibilitas Tersedia,[]
Bandung,Vihara,"3HX8+FHJ, Jl ketapang, Campaka, Kec. Andir, Kota Bandung, Jawa Barat 40184",,"4,8",10,,Tidak Ada ,Tidak Tersedia,-6.9012858,107.5663946,Aksesibilitas Tersedia,[]
Vihara Natawijaya,Vihara,"K Jl. K. Natawijaya No.55, Panjunan, Astanaanyar, Bandung City, West Java 40242",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.9268646,107.5961239,Aksesibilitas Tersedia,[]
Wihara Kesejahteraan,Vihara,"Jl. Kb. Jukut No.9, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",08.00 hingga 17.00,"4,7",11,"
(022) 4239057",Ada,Tidak Tersedia,-6.9143896,107.6056304,Aksesibilitas Tersedia,[]
Vihara Karuna Mukti,Vihara,"3JF5+HF3, Jl. Pasundan, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",,"4,6",65,"
(022) 4234597",Ada,Tidak Tersedia,-6.926125,107.6086633,Aksesibilitas Tersedia,[]
Avalokitesvara Vidya Sasana,Vihara,"Jl. Cikawao Dalam I No.35G, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",07.00 hingga 19.00,"4,8",46,"
(022) 4241395",Ada,Tidak Tersedia,-6.9274726,107.615003,Aksesibilitas Tersedia,[]
Vihara Sad Paramita,Vihara,"Jl. Babakan Tarogong No.251, Babakan Tarogong, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",Tutup,"4,4",9,"
0821-1860-4153",Ada,Tidak Tersedia,-6.9275984,107.5874252,Aksesibilitas Tersedia,[]
Vihara terang hati,Vihara,"Jl. Pagarsih No.128, Jamika, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",,"5,0",1,"
0877-2229-8568",Ada,Tidak Tersedia,-6.9224363,107.5926194,Aksesibilitas Tersedia,[]
Jiang Home,Vihara,"Jl. Taman Kopo Indah 3 Blk. A4 No.41, Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218",,"3,9",7,,Tidak Ada ,Tidak Tersedia,-6.9592378,107.55782,Aksesibilitas Tersedia,[]
Wihara Tanda Bhakti,Vihara,"Jl. Vihara No.3, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181",06.30 hingga 16.00,"4,8",10,"
(022) 6001445",Ada,Tersedia,-6.9181634,107.5937842,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Sasak bubur,Vihara,"6C6R+RCW, Nyalindung, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat",,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.78788,107.441068,Aksesibilitas Tersedia,[]
Dewi Temple,Vihara,"Jl. Cibadak Gg. Wangsa No.6, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",,"3,7",3,"
(022) 6015974",Ada,Tidak Tersedia,-6.9204439,107.5948154,Aksesibilitas Tersedia,[]
Vihara Shi Yu,Tempat Ibadah,"Jl. Kopo Permai III No.11 Blok 36A, Sukamenak, Margahayu, Bandung Regency, West Java 40227",,"3,9",7,,Tidak Ada ,Tidak Tersedia,-6.9650141,107.5864108,Aksesibilitas Tersedia,[]
Vihara Ratnapani,Vihara,"Jl. Luna IV No.6, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40241",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9206815,107.5921925,Aksesibilitas Tersedia,[]
Pusat Meditasi Vipassana Graha,Pusat Meditasi,"Jl. Kolonel Masturi No.69, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",05.00 hingga 18.00,"4,8",1.658,"
(022) 2787664",Ada,Tidak Tersedia,-6.8116604,107.5994075,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
rindi ssumurni,Vihara,"XG2X+RCC, Ciluncat, Kec. Cangkuang, Kabupaten Bandung, Jawa Barat 40238",,"4,5",38,,Tidak Ada ,Tidak Tersedia,-7.0479167,107.548492,Aksesibilitas Tersedia,[]
Vihara Budhi,Vihara,"Jl. Arjuna No.29, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182",,"4,1",46,,Tidak Ada ,Tidak Tersedia,-6.9153053,107.5894331,Aksesibilitas Tersedia,[]
Masjid Al-Amanah,Masjid,"Jl. Ruhana No.6, RW.8, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",,"4,8",67,,Tidak Ada ,Tidak Tersedia,-6.9240612,107.6140377,Aksesibilitas Tersedia,[]
Yayasan Buddha Tzu Chi Bandung,Organisasi Pelayanan Sosial,"Jl. Jend. Sudirman Kelurahan No.628, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183",,"4,6",137,"
(022) 20565200",Ada,Tersedia,-6.9176039,107.5789734,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Wihara Buddhayana,Vihara,"Jl. Kolonel Masturi No.Km.5, RW.2, Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat",,"3,0",2,,Tidak Ada ,Tidak Tersedia,-6.832003,107.555931,Aksesibilitas Tersedia,[]
Vihara Sinar Mulia,Kuil Penganut Agama Tao,"Jl. Cibadak No.225, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9212256,107.5952454,Aksesibilitas Tersedia,[]
Vihara Giritoba/ Sioe Sian Tong (Yayasan Giritoba),Vihara,"Jl. Bojongloa No.70, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242",,"4,3",40,"
(022) 5221401",Ada,Tersedia,-6.9304532,107.5994862,Aksesibilitas Tersedia,[]
Wihara Buddha Sasana,Vihara,"JL. Ijan, No. 8 - 10, Ciateul, Regol, Pungkur, Kec. Regol, Kota Bandung, Jawa Barat 40252",,"5,0",3,"
(022) 5205849",Ada,Tidak Tersedia,-6.927832,107.6041002,Aksesibilitas Tersedia,[]
Pondok Suddhi Bhavana,Vihara,"Jl. Kolonel Masturi No.Km 5, RW.2, Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551",,"4,3",35,,Tidak Ada ,Tidak Tersedia,-6.8316063,107.5545507,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
